"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"21","1751","ACANIG","5-Nov-10","21-Jan-12","20-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",130,130,123,99,50,3.67,"?",NA,0,0,0,0,0
"22","1752","ACANIG","5-Nov-10","31-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",197,197,189,155,220,47.47,"F3",9475,27,0,0,0,0
"23","1753","ACANIG","5-Nov-10","17-Jan-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",208,208,202,168,226,15.6,"F3",9171,30,0,0,0,0
"24","1755","ACANIG","5-Nov-10","20-Jan-12","12-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",205,205,202,162,229,31.17,"F3",9489,89,0,0,0,0
"25","1756","ACANIG","5-Nov-10","21-Feb-12","16-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",205,205,202,173,239,35.73,"F3",12021,231,0,0,0,0
"26","1758","ACANIG","5-Nov-10","21-Jan-12","20-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",154,154,150,125,92,7.5,"M",9467,12,0,0,0,0
"27","1760","ACANIG","5-Nov-10","27-Jan-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",190,190,185,155,209,27,"?",NA,219,0,0,0,0
"28","1795","ACANIG","5-Nov-10","17-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",95,95,93,77,NA,1.97,"?",15045,0,0,0,0,0
"29","1797","ACANIG","5-Nov-10","3-Feb-12","25-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",125,125,120,100,50.78,3.84,"?",15444,14,0,0,0,0
"30","1799","ACANIG","5-Nov-10","3-Feb-12","23-Apr-12","Tabuaeran","fished","TAB-2010-F1",0.172,0.187,3.82595,65,"forereef",120,120,115,95,43,4.18,"?",NA,0,0,0,0,0
