"","species","ID.number","date.collected","date.dissected","station","depth","habitat","island","fishingstatus","TL","SL","TWW","gonads","gonad.voucher","stomach.voucher","TREM.ALL","NEM.ALL","CEST.ALL","COP.ALL","ISO.ALL"
"67","PARARC","TRE094","18-May-14","30-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",69,57,4.97,"F3",NA,NA,0,0,0,0,0
"68","PARARC","TRE095","18-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",84,70,10.27,"F3",NA,NA,18,0,0,0,0
"69","PARARC","TRE096","18-May-14","28-Apr-16","KIR-2010-27",30,"forereef","Kiritimati","fished",68,59,5.42,"?",NA,NA,1,0,0,0,0
"70","PARARC","TRE097","18-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",65,56,4.8,"F3",NA,NA,5,0,0,0,0
"71","PARARC","TRE098","18-May-14","28-Apr-16","KIR-2010-27",30,"forereef","Kiritimati","fished",76,64,8.51,"F3",NA,NA,50,0,0,0,0
"72","PARARC","TRE099","18-May-14","30-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",36,29,0.65,"F3",NA,NA,15,0,0,0,0
"73","PARARC","TRE152","13-May-14","3-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",82,70,11.61,"F3",NA,NA,6,0,0,0,0
"74","PARARC","TRE153","13-May-14","3-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",84,73,10.89,"?",NA,NA,13,0,0,0,0
"75","PARARC","TRE157","13-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",53,46,2.87,"?",NA,NA,0,0,0,0,0
"76","PARARC","TRE161","13-May-14","31-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",55,45,2.84,"?",NA,NA,0,0,0,0,0
"77","PARARC","TRE175","13-May-14","10-May-16","KIR-2010-27",30,"forereef","Kiritimati","fished",81,70,10.36,"?",NA,NA,4,0,0,0,0
"78","PARARC","TRE180","23-May-14","10-May-16","KIR-2010-30",39,"forereef","Kiritimati","fished",116,102,31.23,"?",NA,NA,5,4,1,0,0
"79","PARARC","178","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",99.7,81.4,16.18,"?",NA,12677,0,0,0,0,0
"80","PARARC","179","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",107.7,88.1,21.73,"?",13795,12597,1,0,0,0,0
"81","PARARC","185","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",87.2,69.5,10.984,"F3",16366,15958,0,0,0,0,0
"82","PARARC","186","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",95.1,79.6,14.72,"?",13900,13088,2,0,0,0,0
"83","PARARC","187","11/5/10","6/4/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",110.2,90,23,"",13784,13002,2,0,0,0,0
"84","PARARC","1800","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",85,74,9.85,"?",NA,16732,1,0,0,0,0
"85","PARARC","1801","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",95,79,13.12,"?",12977,12639,0,0,0,0,0
"86","PARARC","1802","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",87,72,11.789,"",NA,16758,0,0,0,0,0
"87","PARARC","1803","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",113,97,27.2,"?",9524,8950,0,0,0,0,0
"88","PARARC","1804","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",90,73,13.652,"?",16368,16360,0,0,0,0,0
"89","PARARC","1806","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",107,89,21.433,"?",16365,16347,0,0,0,0,0
"90","PARARC","1807","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",115,100,26.61,"?",NA,9242,5,0,0,0,0
"91","PARARC","1808","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",106,90,19.56,"?",9551,9546,0,0,0,0,0
"92","PARARC","1835","11/7/10","6/6/12","TAB-2010-F4",65,"forereef","Tabuaeran","fished",111,89,21.53,"?",13786,13846,4,0,0,0,0
"93","PARARC","1836","11/7/10","5/31/12","TAB-2010-F4",65,"forereef","Tabuaeran","fished",102,81,14.444,"?",15955,15954,5,0,0,0,0
"94","PARARC","2593","11/5/10","6/4/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",81,67,NA,"?",NA,NA,5,5,0,0,0
