fish_id,fish_species,date_collected,island,fishing_status,station,fish_depth,fish_habitat,total_length_mm,fork_length_mm,standard_length_mm,total_wet_weight_grams,trematodes_count,cestodes_count,copepods_count,isopods_count,nematodes_count,monogenians_count,gnathopods_count
65,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,200,191,159,185,86,0,0,0,0,0,0
66,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,160,153,129,91,175,0,0,0,1,0,0
67,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,171,165,136,121.16,266,2,0,0,0,0,0
68,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,175,166,140,136.66,1135,4,0,0,0,0,0
69,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,180,170,145,142.27,474,8,0,0,0,0,0
70,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,215,209,178,286,226,0,0,0,0,0,0
71,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,176,172,146,147,491,2,0,0,0,0,0
72,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,210,205,175,301,328,5,0,0,0,0,0
73,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,215,206,176,275,548,7,0,0,0,0,0
74,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,162,158,137,134.4,225,0,0,0,0,0,0
75,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,220,210,179,309,1733,10,0,0,0,0,0
76,ACANIG,11/01/10,Kingman,unfished,KIN-2010-F3,35,patchreef,148.6,146.2,122.9,85.95,35,0,1,0,0,0,0
77,ACANIG,11/01/10,Kingman,unfished,KIN-2010-F3,35,patchreef,148.6,143.4,120.6,85,36,0,0,0,0,0,0
78,ACANIG,11/01/10,Kingman,unfished,KIN-2010-F3,35,patchreef,133.1,125.5,106.1,50.77,28,0,0,0,1,0,0
79,ACANIG,11/01/10,Kingman,unfished,KIN-2010-F3,35,patchreef,149.5,142,118.4,68.72,118,0,0,0,0,0,0
80,ACANIG,11/01/10,Kingman,unfished,KIN-2010-F3,35,patchreef,157,148.2,126.7,107.12,19,0,0,0,0,0,0
81,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,185.4,177.4,144.7,121.11,36,0,0,0,0,0,0
82,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,171,163,138,129.19,471,3,0,0,0,0,0
83,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,174.1,163.2,133.5,107.64,131,0,0,0,0,0,0
84,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,200,194,165,259,412,3,0,0,0,0,0
85,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,225,217,185,319,284,13,0,0,0,0,0
86,ACANIG,11/12/10,Jarvis,unfished,JAR-2010-F1,45,forereef,218,209,178,NA,418,5,0,0,0,0,0
87,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,164,157,134,102.06,78,1,0,0,1,0,0
88,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,155,149,126,NA,149,3,0,0,0,0,0
89,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,202,193,163,190,129,6,0,0,1,0,0
90,ACANIG,11/08/10,Teraina,fished,TER-2010-F1,60,forereef,162,157,133,104.58,67,0,0,0,1,0,0
91,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,159,152,129,95.22,462,1,0,0,0,0,0
92,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,150,144,121,90.17,409,4,0,0,0,0,0
93,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,164,155,135,102.78,458,0,0,0,0,0,0
94,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,151,145,122,89.55,878,0,0,0,0,0,0
95,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,149,142,119,88.07,302,1,0,1,0,0,0
96,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,154,150,126,100.39,143,0,0,0,0,0,0
97,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,155,147,121.5,100.01,294,1,0,0,0,0,0
98,ACANIG,11/13/10,Jarvis,unfished,JAR-2010-F2,50,forereef,169,161,136,117.32,326,0,0,0,0,0,0
99,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,141.4,132.8,109.5,60.58,72,0,0,0,0,0,0
100,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,154.1,144.9,NA,79.34,101,0,0,0,0,0,0
101,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F1,45,forereef,165.2,156.7,129.7,115,59,0,0,0,0,0,0
102,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F1,45,forereef,169.1,159.5,130.1,127.74,19,0,0,0,1,0,0
103,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F1,45,forereef,163.7,153.6,123,119.73,27,0,0,0,0,0,0
104,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F1,45,forereef,166.6,159.2,129.8,126.12,24,0,0,0,0,0,0
105,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,156.2,148.1,118.3,96.76,441,0,0,0,0,0,0
106,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,202.5,198.3,171.9,111.13,123,0,0,0,0,0,0
107,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,169.7,161.4,132.4,86.62,325,0,0,0,1,0,0
108,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F2,35,backreef,147.5,142.7,117.9,74.68,105,0,0,0,1,0,0
109,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,157.5,150.4,122.4,93.51,274,0,1,0,0,0,0
110,ACANIG,10/31/10,Kingman,unfished,KIN-2010-F3,35,patchreef,160.8,149.4,119,98.84,102,0,0,0,0,0,0
111,ACANIG,11/05/10,Tabuaeran,fished,TAB-2010-F1,65,forereef,115,112,92,43,0,0,0,0,0,0,0
112,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,206,194,163,202.85,1461,0,0,0,0,0,0
113,ACANIG,05/09/14,Kiritimati,fished,KIR-2010-30,39,forereef,188,176,148,197.87,742,9,0,0,2,0,0
114,ACANIG,05/09/14,Kiritimati,fished,KIR-2010-30,39,forereef,195,186,155,200.41,1937,1,0,0,2,0,0
115,ACANIG,05/09/14,Kiritimati,fished,KIR-2010-30,39,forereef,200,189,155,216.78,1252,3,0,0,0,0,0
116,ACANIG,05/09/14,Kiritimati,fished,KIR-2010-30,39,forereef,160,151,124,96.47,1066,9,0,0,0,0,0
117,ACANIG,05/17/14,Kiritimati,fished,KIR-2010-30,30,forereef,193,178,155,187.94,17,0,0,0,1,0,0
118,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,199,187,155,161.03,988,0,0,0,1,0,0
119,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,202,196,161,196.19,1183,3,0,0,0,0,0
120,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,157,149,122,96.1,1469,3,0,0,0,0,0
121,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,39,forereef,199,184,152,203.15,1552,7,0,0,3,0,0
122,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,205,186,161,190.33,627,11,0,0,0,0,0
123,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,191,172,144,177.38,613,14,0,0,0,0,0
124,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,212,195,166,251.05,904,4,0,0,4,0,0
125,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,162,151,129,103.54,223,1,0,0,0,0,0
126,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,196,186,151,197.59,305,0,0,0,0,0,0
127,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,202,196,162,201.61,1248,1,0,0,2,0,0
